Filiale,Datum,Artikelgruppe,Umsatz
1,2015-01-07,1,50.0922348079563
1,2015-01-27,1,57.0023413986232
1,2015-01-30,1,52.920824712447
1,2015-02-02,1,89.3434740310618
1,2015-02-05,1,68.717498432856
1,2015-02-28,1,73.0401376275615
1,2015-03-03,1,53.6868537497518
1,2015-03-06,1,68.2143281574762
1,2015-03-09,1,60.0963972082516
1,2015-04-01,1,47.1000466349
1,2015-04-04,1,72.1059406148223
1,2015-04-07,1,69.4055792194724
1,2015-04-30,1,66.2649520816591
1,2015-05-06,1,87.783730635708
1,2015-05-29,1,60.2875476751783
1,2015-06-01,1,89.8958730774516
1,2015-06-04,1,52.9969757737654
1,2015-06-27,1,62.9508996991326
1,2015-06-30,1,54.5410109196385
1,2015-07-03,1,73.2337185241215
1,2015-07-06,1,77.0683350720051
1,2015-07-29,1,90.3912055135887
1,2015-08-01,1,73.4152984768368
1,2015-08-04,1,58.6524934477319
1,2015-08-07,1,88.9098166303971
1,2015-08-27,1,49.1904674193764
1,2015-09-02,1,45.4614844646354
1,2015-09-05,1,57.9784309919961
1,2015-09-28,1,60.8845254787791
1,2015-10-01,1,49.5459278033199
1,2015-10-27,1,77.8718885955206
1,2015-10-30,1,67.2544733741211
1,2015-11-02,1,77.7310461177083
1,2015-11-05,1,58.0547357693272
1,2015-11-25,1,70.5141214309161
1,2015-11-28,1,62.9775748629509
1,2015-12-01,1,58.2122356034223
1,2015-12-04,1,60.3808122360728
1,2015-12-30,1,90.4194172780907
1,2016-01-02,1,63.1615388094983
1,2016-01-25,1,58.6845863371653
1,2016-01-28,1,60.6283026622624
1,2016-02-03,1,60.5087072612966
1,2016-02-23,1,50.6038680136164
1,2016-02-26,1,70.5677804147763
1,2016-02-29,1,48.9960070064336
1,2016-03-03,1,57.3804441347287
1,2016-03-26,1,95.2378180030247
1,2016-03-29,1,50.742039371238
1,2016-04-01,1,60.4032551683259
1,2016-04-04,1,71.619752084669
1,2016-04-27,1,61.5733752354778
1,2016-04-30,1,44.3425587292889
1,2016-05-03,1,61.1317066333114
1,2016-05-26,1,69.5051373870361
1,2016-06-01,1,58.0376088068542
1,2016-06-24,1,60.6338596381381
1,2016-06-27,1,73.2530897188779
1,2016-06-30,1,50.5985272354742
1,2016-07-23,1,61.0375613517196
1,2016-07-26,1,82.3064103905239
1,2016-07-29,1,67.2722100394432
1,2016-08-01,1,76.1001804664173
1,2016-08-24,1,69.888521902583
1,2016-08-27,1,47.243766929071
1,2016-08-30,1,62.7467791841864
1,2016-09-22,1,59.855950080299
1,2016-09-28,1,57.2554469849653
1,2016-10-01,1,48.3656722965397
1,2016-10-21,1,59.7805906715881
1,2016-10-24,1,35.9453921421065
1,2016-10-27,1,59.2423819738123
1,2016-11-22,1,64.1190015407661
1,2016-11-25,1,65.7270586866822
1,2016-11-28,1,80.5860683446034
1,2016-12-01,1,63.5260579837807
1,2016-12-21,1,73.5432989033881
1,2016-12-24,1,71.3295033247569
1,2016-12-27,1,60.8212370688522
1,2016-12-30,1,63.6764564866213
1,2017-01-25,1,58.6778977163707
1,2017-01-28,1,42.0033498676507
1,2017-02-20,1,58.6618437199535
1,2017-02-23,1,54.4782344382263
1,2017-03-01,1,53.5469538435499
1,2017-03-21,1,42.4834741349551
1,2017-03-24,1,52.7331517649647
1,2017-03-27,1,81.825158451435
