Datum;Niederschlag;Sonne_h;Temperatur_max;
01.01.2015;8;0;6,2;
02.01.2015;2,2;0,7;9,5;
03.01.2015;4,2;0;5,9;
04.01.2015;0;4,7;5,8;
05.01.2015;0,2;0;6,1;
06.01.2015;0,2;0;4,2;
07.01.2015;1,3;2,2;7;
08.01.2015;7,5;0;7,3;
09.01.2015;12,6;0,1;8,4;
10.01.2015;6;0;11,8;
11.01.2015;4;0,5;6,3;
12.01.2015;13,8;0;8,6;
13.01.2015;12;0;9,5;
14.01.2015;6,2;0,3;5,2;
15.01.2015;13,6;0;8,3;
16.01.2015;0;0,3;7,1;
17.01.2015;0;4,9;5,1;
18.01.2015;4,1;0;2,3;
19.01.2015;1,3;0;1,2;
20.01.2015;1,3;0;0,6;
21.01.2015;0;0;-0,4;
22.01.2015;0;0,4;-0,4;
23.01.2015;0;0;-0,8;
24.01.2015;1,9;0;0,9;
25.01.2015;0;2,7;3,9;
26.01.2015;6,4;0;5,3;
27.01.2015;0;5,9;6;
28.01.2015;16,6;0;5,2;
29.01.2015;8,1;0;2,4;
30.01.2015;0;0,6;2,3;
31.01.2015;0;0;-1;
01.02.2015;4,5;0,1;1,5;
02.02.2015;0,2;0,9;2,3;
03.02.2015;0,4;0,2;0;
04.02.2015;0,5;1,8;-0,4;
05.02.2015;0;2,6;1,4;
06.02.2015;0;5,3;1,5;
07.02.2015;0;0;5;
08.02.2015;0,1;6,9;5;
09.02.2015;0;0;7,5;
10.02.2015;0;1,6;8,7;
11.02.2015;0;0;4;
12.02.2015;0;0;2,6;
13.02.2015;0;0;1,7;
14.02.2015;0;1;3,4;
15.02.2015;0;0;3,7;
16.02.2015;0;0;2,9;
17.02.2015;0;0,3;3;
18.02.2015;0;5,4;7,6;
19.02.2015;0;6,9;7,9;
20.02.2015;5,9;0;5,1;
21.02.2015;3,5;0;5,7;
22.02.2015;0,8;4,3;7,1;
23.02.2015;1,7;0,4;6,3;
24.02.2015;0;1,5;6,5;
25.02.2015;0,7;3,7;7,9;
26.02.2015;1;2,1;7,9;
27.02.2015;4,8;0;5,6;
28.02.2015;1,7;4,3;7,3;
01.03.2015;2,1;0,7;8,8;
02.03.2015;2,9;0,8;6,1;
03.03.2015;6,8;1,8;6,4;#BEZUG!
04.03.2015;2,3;2,9;7,3;#BEZUG!
05.03.2015;0,1;2,9;7,9;
06.03.2015;0;0,5;9,1;
07.03.2015;0;0,4;12,1;
08.03.2015;0;9,3;16,7;
09.03.2015;1;5,1;10,3;
10.03.2015;0;5,6;11,1;
11.03.2015;0;10,8;10,5;
12.03.2015;0;10,8;8,3;
13.03.2015;0;2,6;6,2;
14.03.2015;0;1,2;6,5;
15.03.2015;0;0;6,1;
16.03.2015;0;6,9;10,1;
17.03.2015;0;9,4;12,2;
18.03.2015;0;6,3;13,1;
19.03.2015;0;11,1;12,4;
20.03.2015;4,1;1,4;7,6;
21.03.2015;3,3;0;5,1;
22.03.2015;0;11,2;6,2;
23.03.2015;0;10;9,9;
24.03.2015;0;2,4;9,3;
25.03.2015;1,7;2;8,9;
26.03.2015;0;0,5;9,2;
27.03.2015;2,5;0,3;8,1;
28.03.2015;8,9;1,4;10,6;
29.03.2015;13;0;9,6;
30.03.2015;6,7;3,2;7,9;
31.03.2015;11,3;0,1;8,1;
01.04.2015;3,1;4,8;7,5;
02.04.2015;0,4;8,7;8,7;
03.04.2015;0;7,4;8,7;
04.04.2015;0;12,4;9,6;
05.04.2015;0;10,5;10,5;
06.04.2015;0;12,7;9;
07.04.2015;0;0,4;9,8;
08.04.2015;0;7,3;13,4;
09.04.2015;0;7,2;15,1;
10.04.2015;0;9,5;15,2;
11.04.2015;6,5;8,1;19,9;
12.04.2015;1,6;6,3;13,8;
13.04.2015;0,1;9,7;11,2;
14.04.2015;0;0,1;12,8;
15.04.2015;0;10;17,2;
16.04.2015;0;6,3;11;
17.04.2015;0;10,8;11,8;
18.04.2015;0;12,1;12,7;
19.04.2015;0;11,9;11,1;
20.04.2015;0;13,9;16,6;
21.04.2015;0;13,9;16,4;
22.04.2015;0;10,8;16;
23.04.2015;0;9,9;16,5;
24.04.2015;0,1;7,4;17,4;
25.04.2015;5,7;0;15,4;
26.04.2015;0,8;0;11,3;
27.04.2015;0;6,2;12;
28.04.2015;0;9,4;12,6;
29.04.2015;0,3;9,3;14,1;
30.04.2015;1,4;3,4;14;
01.05.2015;0;6,3;11,8;
02.05.2015;0;10,4;13,1;
03.05.2015;7,7;9,7;16,7;
04.05.2015;1,9;5,6;18,4;
05.05.2015;14,8;3,8;24,2;
06.05.2015;3,1;9,6;18,5;
07.05.2015;2,4;5,7;13,8;
08.05.2015;0;9,1;12,8;
09.05.2015;3,7;1,5;16,4;
10.05.2015;0;8,2;14,5;
11.05.2015;0;11,4;23,8;
12.05.2015;2,9;3;17,7;
13.05.2015;0;2,3;13,3;
14.05.2015;0;0,2;12,8;
15.05.2015;0;7,7;15,6;
16.05.2015;0,3;0;11,7;
17.05.2015;0,4;8,7;13,6;
18.05.2015;8,9;0;13,2;
19.05.2015;12,4;5,8;14,2;
20.05.2015;1,7;9,1;14,5;
21.05.2015;0,2;7,9;14,7;
22.05.2015;1,1;8,2;19,4;
23.05.2015;0,4;7,5;15,6;
24.05.2015;0,5;13,9;17,8;
25.05.2015;0;0,4;13,1;
26.05.2015;0;6,7;15;
27.05.2015;0;4,5;14,9;
28.05.2015;4,3;3;15,1;
29.05.2015;3,4;6,4;16,7;
30.05.2015;0,8;7,5;13,5;
31.05.2015;3,7;1,5;17,1;
01.06.2015;2,2;0;15,5;
02.06.2015;0,6;1,3;17,3;
03.06.2015;0;5,35;16,5;
04.06.2015;0;15,6;17,9;
05.06.2015;0,9;13,383;25,5;
06.06.2015;0;9,317;21,1;
07.06.2015;0;12,9;18,4;
08.06.2015;0;6,7;16,4;
09.06.2015;0;9,583;17,3;
10.06.2015;0;16,333;19,6;
11.06.2015;0;15,95;17,8;
12.06.2015;0;16,217;21,7;
13.06.2015;3,7;3,417;25,3;
14.06.2015;0;0,6;16,4;
15.06.2015;0;4,583;15,3;
16.06.2015;0;3,267;15,3;
17.06.2015;4,7;3,367;17,6;
18.06.2015;1,3;1,75;15,2;
19.06.2015;0,7;1,5;16,2;
20.06.2015;0;8,3;18,3;
21.06.2015;14,4;2,167;18,1;
22.06.2015;1,8;4,967;17,3;
23.06.2015;0,4;7,733;19,6;
24.06.2015;0,1;0,217;14,2;
25.06.2015;0;4,067;20,5;
26.06.2015;0,1;5,15;20,5;
27.06.2015;0,1;1,967;21,5;
28.06.2015;2,6;11,5;22,2;
29.06.2015;0;11,483;22,9;
30.06.2015;0;14,067;21,6;
01.07.2015;0;16,517;24,3;
02.07.2015;0;16,367;29,4;
03.07.2015;0;13,033;27,7;
04.07.2015;0,2;13,017;28,5;
05.07.2015;15,9;4,2;27,4;
06.07.2015;0;12,133;21,7;
07.07.2015;2,4;8,35;26,9;
08.07.2015;4;6,267;19,2;
09.07.2015;0,1;6,083;16,5;
10.07.2015;0;11,133;18,3;
11.07.2015;0;7,483;20,1;
12.07.2015;0,3;0,25;21,1;
13.07.2015;0;2,933;21,9;
14.07.2015;0;6,733;21,2;
15.07.2015;3,9;11,383;22,1;
16.07.2015;0;6,817;21,8;
17.07.2015;1,8;12,15;26,6;
18.07.2015;0;11,283;23,3;
19.07.2015;2,3;0;15,9;
20.07.2015;0,8;7,7;20,5;
21.07.2015;1,2;9,95;22,6;
22.07.2015;0;9,4;25,7;
23.07.2015;0;6,25;21;
24.07.2015;21,6;6,233;21,4;
25.07.2015;8,9;1,8;24,2;
26.07.2015;0,7;7,767;18,9;
27.07.2015;21,8;0,6;18,2;
28.07.2015;14,2;2,283;20;
29.07.2015;22,5;2,967;16,9;
30.07.2015;2,1;0;14,5;
31.07.2015;0;4,367;17,4;
01.08.2015;0;12,6;18,7;
02.08.2015;0;12,833;22,7;
