ds,Niederschlag,Sonne_h,Temperatur_max,SoFe_SH,HeFe_SH,WiFe_SH,Kieler_Woche,karfreitag,ostermontag,himmelfahrt,pfingstmontag,tag_der_arbeit,einheitstag,heilig_abend,weihnachten,silvester,neujahr,day_before_irregular_holiday
2015-01-01,"2,2","0,7","9,5",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2015-01-02,"2,2","0,7","9,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-03,"4,2",0,"5,9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-04,0,"4,7","5,8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-05,"0,2",0,"6,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-06,"0,2",0,"4,2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-07,"1,3","2,2",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-08,"7,5",0,"7,3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-09,"12,6","0,1","8,4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-10,6,0,"11,8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-11,4,"0,5","6,3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-12,"13,8",0,"8,6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-13,12,0,"9,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-14,"6,2","0,3","5,2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-15,"13,6",0,"8,3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-16,0,"0,3","7,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-17,0,"4,9","5,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-18,"4,1",0,"2,3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-19,"1,3",0,"1,2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-20,"1,3",0,"0,6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-21,0,0,"-0,4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-22,0,"0,4","-0,4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-23,0,0,"-0,8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-24,"1,9",0,"0,9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-25,0,"2,7","3,9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-26,"6,4",0,"5,3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-27,0,"5,9",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-28,"16,6",0,"5,2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-29,"8,1",0,"2,4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-30,0,"0,6","2,3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-31,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-01,"4,5","0,1","1,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-02,"0,2","0,9","2,3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-03,"0,4","0,2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-04,"0,5","1,8","-0,4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-05,0,"2,6","1,4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-06,0,"5,3","1,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-07,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-08,"0,1","6,9",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-09,0,0,"7,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-10,0,"1,6","8,7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-11,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-12,0,0,"2,6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-13,0,0,"1,7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-14,0,1,"3,4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-15,0,0,"3,7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-16,0,0,"2,9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-17,0,"0,3",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-18,0,"5,4","7,6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-19,0,"6,9","7,9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-20,"5,9",0,"5,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-21,"3,5",0,"5,7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-22,"0,8","4,3","7,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-23,"1,7","0,4","6,3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-24,0,"1,5","6,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-25,"0,7","3,7","7,9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-26,1,"2,1","7,9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-27,"4,8",0,"5,6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-28,"1,7","4,3","7,3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-01,"2,1","0,7","8,8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-02,"2,9","0,8","6,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-03,"6,8","1,8","6,4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-04,"2,3","2,9","7,3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-05,"0,1","2,9","7,9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-06,0,"0,5","9,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-07,0,"0,4","12,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-08,0,"9,3","16,7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-09,1,"5,1","10,3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-10,0,"5,6","11,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-11,0,"10,8","10,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-12,0,"10,8","8,3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-13,0,"2,6","6,2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-14,0,"1,2","6,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-15,0,0,"6,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-16,0,"6,9","10,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-17,0,"9,4","12,2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-18,0,"6,3","13,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-19,0,"11,1","12,4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-20,"4,1","1,4","7,6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-21,"3,3",0,"5,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-22,0,"11,2","6,2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-23,0,10,"9,9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-24,0,"2,4","9,3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-25,"1,7",2,"8,9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-26,0,"0,5","9,2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-27,"2,5","0,3","8,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-28,"8,9","1,4","10,6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-29,13,0,"9,6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-30,"6,7","3,2","7,9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-31,"11,3","0,1","8,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
